experiment_name,optimizer,scheduler,rl_warmup,lr,final_psnr,final_ssim,final_mse,final_mae,iterations,converged,convergence_iter,total_time_s,time_per_iter_ms,timestamp
sched_sweep_sgd_constant_w50,sgd,constant,50,0.001,22.886320566299784,0.7520800309379178,0.00514479344655345,0.04892676844110534,51,True,50,8.03335189819336,157.5167038861443,2026-02-18T00:57:13.529500
sched_sweep_sgd_cosine_w50,sgd,cosine,50,0.001,22.886320568202983,0.7520800312134684,0.005144793444298854,0.04892676841406027,51,True,50,6.903993606567383,135.37242365818398,2026-02-18T00:57:20.434324
sched_sweep_sgd_step_w50,sgd,step,50,0.001,22.886320568213815,0.752080031331025,0.005144793444286023,0.04892676840300546,51,True,50,7.002099514007568,137.2960689021092,2026-02-18T00:57:27.437204
sched_sweep_sgd_reduce_on_plateau_w50,sgd,reduce_on_plateau,50,0.001,22.886320736707077,0.7520800556869407,0.005144793244683438,0.04892676546660255,51,True,50,6.959041357040405,136.45179131451775,2026-02-18T00:57:34.397333
sched_sweep_sgd_one_cycle_w50,sgd,one_cycle,50,0.001,22.88631740179192,0.7520791715156157,0.005144797195333577,0.04892679863357369,51,True,50,7.01063084602356,137.46334992203057,2026-02-18T00:57:41.409056
sched_sweep_sgd_cosine_warm_restarts_w50,sgd,cosine_warm_restarts,50,0.001,22.88632071202871,0.7520800515976453,0.005144793273918235,0.048926765959261286,51,True,50,6.979844808578491,136.85970212899002,2026-02-18T00:57:48.389754
